iter	Passed	Remaining
0	2	2146
1	4	2221
2	7	2394
3	9	2395
4	12	2389
5	14	2383
6	16	2379
7	19	2360
8	21	2351
9	23	2323
10	25	2319
11	27	2293
12	29	2258
13	31	2240
14	34	2235
15	36	2239
16	39	2270
17	41	2281
18	43	2270
19	45	2253
20	48	2241
21	50	2233
22	52	2244
23	55	2237
24	57	2239
25	59	2223
26	61	2211
27	63	2202
28	65	2202
29	67	2190
30	69	2180
31	72	2178
32	74	2176
33	76	2167
34	78	2158
35	80	2149
36	82	2144
37	84	2142
38	86	2136
39	89	2136
40	91	2134
41	93	2124
42	95	2117
43	97	2111
44	99	2105
45	100	2094
46	102	2087
47	105	2086
48	107	2081
49	109	2074
50	111	2068
51	113	2066
52	115	2057
53	117	2051
54	118	2044
55	121	2044
56	123	2039
57	125	2032
58	127	2028
59	129	2030
60	132	2033
61	134	2037
62	137	2045
63	141	2062
64	143	2067
65	146	2068
66	148	2067
67	150	2064
68	152	2063
69	155	2062
70	157	2055
71	164	2119
72	172	2184
73	178	2231
74	184	2271
75	190	2313
76	195	2344
77	201	2379
78	206	2404
79	209	2414
80	213	2427
81	217	2436
82	220	2440
83	223	2441
84	226	2442
85	230	2449
86	233	2453
87	237	2458
88	240	2458
89	243	2460
90	245	2456
91	248	2452
92	251	2451
93	253	2445
94	256	2439
95	258	2433
96	261	2431
97	263	2424
98	265	2420
99	268	2414
100	270	2406
101	272	2399
102	274	2392
103	277	2387
104	279	2380
105	281	2374
106	283	2367
107	285	2359
108	287	2352
109	289	2345
110	291	2337
111	293	2329
112	295	2321
113	297	2315
114	299	2308
115	301	2300
116	303	2292
117	305	2283
118	307	2275
119	309	2267
120	311	2259
121	312	2252
122	314	2245
123	316	2236
124	318	2228
125	320	2220
126	321	2213
127	323	2204
128	325	2196
129	327	2188
130	328	2180
131	330	2172
132	331	2163
133	333	2155
134	335	2147
135	336	2140
136	338	2134
137	340	2128
138	342	2122
139	344	2116
140	346	2109
141	347	2101
142	349	2093
143	350	2086
144	352	2079
145	354	2071
146	355	2065
147	357	2058
148	359	2051
149	360	2044
150	362	2038
151	364	2032
152	365	2026
153	367	2019
154	369	2013
155	371	2008
156	372	2002
157	374	1995
158	376	1989
159	378	1984
160	379	1977
161	381	1971
162	382	1966
163	384	1960
164	386	1955
165	388	1949
166	389	1943
167	391	1938
168	393	1932
169	394	1927
170	396	1922
171	398	1917
172	399	1911
173	401	1906
174	403	1900
175	404	1896
176	406	1891
177	408	1888
178	410	1884
179	412	1880
180	414	1876
181	416	1871
182	418	1867
183	420	1863
184	421	1858
185	423	1854
186	425	1850
187	427	1845
188	429	1841
189	430	1836
190	432	1831
191	434	1826
192	435	1822
193	437	1819
194	439	1816
195	441	1812
196	443	1809
197	445	1805
198	447	1801
199	449	1797
200	451	1793
201	452	1788
202	454	1784
203	456	1780
204	458	1776
205	459	1772
206	461	1768
207	463	1764
208	465	1760
209	467	1757
210	469	1754
211	470	1750
212	472	1746
213	474	1743
214	476	1739
215	478	1736
216	480	1732
